Neptunian Script,Romanization,Pronunciation,Definition
NINNIF,Ninniv,/ˈn̟in̟ːiβ/,"Next to, Local (adj)"
NIREHYE,Nirehye,/n̟iˈɾ̟exˤjˤe/,Point (n)
NIRI,Niri,/n̟iˈɾ̟i/,"Again, Another time"
NIRH,Nirh,/n̟iˈɾ̟̥x̩ˤ/,With
NIS,Nis,/n̟iɕ̟/,After (for connecting clauses)
NICI,Nichi,/n̟iˈʨ̟i/,Third (adj)
NICH,Nichh,/n̟iˈʨ̟x̩ˤ/,Second (adj)
NIHAG,Nihang,/n̟iˈxˤaŋˤ/,Rocky (adj)
NW,Nw,/n̟ɯ/,O (the letter) (n)
NW,Nw,/n̟ɯ/,"Smoke, Fog, Mist (n)"
NW,Nw,/n̟ɯ/,"Thing, Object (n)"
NWFEI,Nwvei,/n̟ɯˈβɛɪ/,"Door, Gate (n)"
NWFACI,Nwvachi,/n̟ɯˈβaʨ̟i/,Shortener (n)
NWFIG,Nwving,/n̟ɯˈβiŋˤ/,"Development, Creation (n)"
NWFHRE,Nwvahre,/n̟ɯˈβḁxˤɾ̟e/,Silencer (n)
NWF,Nwv,/n̟ɯβ/,Haze (n)
NWFRAM,Nwvram,/n̟ɯˈβɾ̟am/,Table (n)
NWKYHG,Nwgyahk,/n̟ɯˈgˤjˤḁxˤkˤ/,Sound (n)
NWKRH,Nwkrh,/n̟ɯˈkˤɾ̟̥x̩ˤ/,Zero (n)
NWMEMWPHP,Nwmemwphp,/n̟ɯˈmemɯpx̩ˤp/,"Culture, Heritage (n)"
NWNH,Nwnah,/n̟ɯˈn̟ḁxˤ/,"Paper, Page, Writing (n)"
NWNHFEG,Nwnahveng,/n̟ɯˈn̟ḁxˤβeŋˤ/,Stamp (n)
NWN,Nwn,/n̟ɯn̟/,"Things, Objects (pl.n)"
NWNNAN,Nwnnan,/ˈn̟ɯn̟ːan̟/,Books (pl.n)
NWNYEM,Nwnyem,/n̟ɯˈn̟jˤem/,Mist (n)
NWNYEN,Nwnyen,/n̟ɯˈn̟jˤen̟/,Need (v)
NWNYAPRI,Nwnyabri,/n̟ɯˈn̟jˤabɾ̟i/,Clock (n)
NWNYAN,Nwnyan,/n̟ɯˈn̟jˤan̟/,Polite (adj)
NWRAM,Nwram,/n̟ɯˈɾ̟am/,Plant (n)
NWRAMPIHEN,Nwrambihen,/n̟ɯˈɾ̟ambixˤen̟/,Passport (n)
NWRAN,Nwran,/n̟ɯˈɾ̟an̟/,Book (n)
NWDEHCEG,Nwdehcheng,/n̟ɯˈð̟exˤʨ̟eŋˤ/,Phonology (n)
NWSEF,Nwsev,/n̟ɯˈɕ̟eβ/,"Energy, Magic, Serene (n/adj)"
NWS,Nws,/n̟ɯɕ̟/,Information (n)
NWCH,Nwchh,/n̟ɯˈʨ̟x̩ˤ/,Pair (n)
NWHEINYE,Nwheinye,/n̟ɯˈxˤɛɪn̟jˤe/,"Accommodation, Tool (n)"
NWHAI,Nwhai,/n̟ɯˈxˤaɪ/,"Key, Crank (n)"
NWYAK,Nwyak,/n̟ɯˈjˤakˤ/,New York (n)
NWG,Nwng,/n̟ɯŋˤ/,Want (v)
NWGPEI,Nwngbei,/n̟ɯŋˤˈbɛɪ/,Hope (v)
NWGCEF,Nwngchev,/n̟ɯŋˤˈʨ̟eβ/,Love (v)
NWGYHG,Nwngyhng,/n̟ɯŋˤˈj̥ˤx̩ˤŋ̥ˤ/,Wish (v/n)
NH,Nah,/n̟ḁxˤ/,Write (v)
NHP,Nahp,/n̟ḁxˤp/,"Ugly, Mess (adj/n)"
NHNYA,Nahnya,/n̟ḁxˤˈn̟jˤa/,Syllabary (n)
NYE,Nye,/n̟jˤe/,"Egg, Seed (n)"
NYE,Nye,/n̟jˤe/,Protect (v)
NYEMWN,Nyemwn,/n̟jˤeˈmɯn̟/,"Ocean, Long (n/adj)"
NYEM,Nyem,/n̟jˤem/,Water (n)
NYEMKREI,Nyemgrei,/n̟jˤemˈgˤɾ̟ɛɪ/,Juice (n)
NYEMKRAF,Nyemgrav,/n̟jˤemˈgˤɾ̟aβ/,Blood (n)
NYENAI,Nyenai,/n̟jˤeˈn̟aɪ/,Light Grey (adj)
NYENNI,Nyenni,/ˈn̟jˤen̟ːi/,Wet (n)
NYERAI,Nyerai,/n̟jˤeˈɾ̟aɪ/,Rapids (n)
NYEI,Nyei,/n̟jˤɛɪ/,See (v)
NYEI,Nyei,/n̟jˤɛɪ/,Uranus (n)
NYEIPWN,Nyeipwn,/n̟jˤɛɪˈpɯn̟/,Light Blue (adj)
NYEIP,Nyeip,/n̟jˤɛɪp/,Come across (v)
NYEINIFENYANE,Nyeinifenyane,/n̟jˤɛɪˈn̟iɸen̟jˤan̟e/,Nice to meet (you)
NYEINIF,Nyeiniv,/n̟jˤɛɪˈn̟iβ/,Meet (v)
NYEIN,Nyein,/n̟jˤɛɪn̟/,Action (n)
NYEINYH,Nyeinyh,/n̟jˤɛɪˈn̟j̥ˤx̩ˤ/,Hello
NYEIHEKEN,Nyeiheken,/n̟jˤɛɪˈxˤekˤen̟/,Explore (v)
NYEIG,Nyeing,/n̟jˤɛɪŋˤ/,Eye (n)
NYA,Nya,/n̟jˤa/,Good (adj)
NYA,Nya,/n̟jˤa/,"Sun, Light (n)"
NYAFAN,Nyavan,/n̟jˤaˈβan̟/,"Amazing, Awesome (adj)"
NYAF,Nyav,/n̟jˤaβ/,Bad (adj)
NYAKKREGI,Nyakkregi,/ˈn̟jˤakˤːɾ̟egˤi/,Any time
NYANERI,Nyaneri,/n̟jˤaˈn̟eɾ̟i/,"Days, Every day (pl.n)"
NYAN,Nyan,/n̟jˤan̟/,"Of course, Bright, Obvious (adj)"
NYAREIMWFHN,Nyareimwvaht,/n̟jˤaˈɾ̟ɛɪmɯβḁxˤt̟/,Birthday (n)
NYAREIYEHFEN,Nyareiyehfen,/n̟jˤaˈɾ̟ɛɪjˤexˤɸem/,Sunset (n)
NYARI,Nyari,/n̟jˤaˈɾ̟i/,Day (n)
NYACWM,Nyachwm,/n̟jˤaˈʨ̟ɯm/,Afternoon (n)
NYAHEI,Nyahei,/n̟jˤaˈxˤɛɪ/,Yesterday (n)
NYAHEIFHN,Nyaheivaht,/n̟jˤaˈxˤɛɪβḁxˤt̟/,Morning (n)
NYAI,Nyai,/n̟jˤaɪ/,"Good, Alright, Okay (adj)"
NYAI,Nyai,/n̟jˤaɪ/,"Safe, Easy (adj)"
NYH,Nyh,/n̟j̥ˤx̩ˤ/,Flag (n)
NYHKEN,Nyahgen,/n̟jˤḁxˤˈgˤen/,Panic (v/n)
NYHN,Nyaht,/n̟jˤḁxˤt̟/,Scared (adj)
DE,De,/ð̟e/,Sibling (n)
DEF,Dev,/ð̟eβ/,Rope (n)
DEFNYAF,Devnyav,/ð̟eβˈn̟jˤaβ/,Steal (v)
DEKKAI,Dekkai,/ˈð̟ekˤːaɪ/,Fish (v)
DEKRAFEI,Degrafei,/ð̟eˈgˤɾ̟aɸɛɪ/,Lose (from death) (v)
DEMENSEN,Demensen,/ð̟eˈmen̟ɕ̟en̟/,Dimension (n)
DEMEIDE,Demeide,/ð̟eˈmɛɪð̟e/,Tomato (n)
DECCW,Decchw,/ˈð̟eʨ̟ːɯ/,Sell (v)
DEHEIPI,Deheipi,/ð̟eˈxˤɛɪpi/,"Advance, push away (v)"
DEHEICW,Deheichw,/ð̟eˈxˤɛɪʨ̟ɯ/,"Lend, Collect rent (v)"
DEHFI,Dehfi,/ð̟exˤˈɸi/,Promise (v/n)
DEHFINEIG,Dehfineing,/ð̟exˤˈɸin̟ɛɪŋˤ/,"Law, Right (n)"
DEHCW,Dehchw,/ð̟exˤˈʨ̟ɯ/,Remember (v)
DEI,Dei,/ð̟ɛɪ/,"Now, In"
DEIFHN,Deivaht,/ð̟ɛɪˈβḁxˤt̟/,When
DEINA,Deina,/ð̟ɛɪˈn̟a/,Week by Moon (n)
DEINIF,Deiniv,/ð̟ɛɪˈn̟iβ/,Soon
DEIN,Dein,/ð̟ɛɪn̟/,"During, In the time of"
DEINDE,Deinde,/ð̟ɛɪn̟ˈð̟e/,"So far, Until now"
DEINYAF,Deinyav,/ð̟ɛɪˈn̟jˤaβ/,Trouble (n)
DA,Da,/ð̟a/,"Read, Say (text aloud) (v)"
DAPW,Dabw,/ˈð̟abɯ/,W (the letter) (n)
DAF,Dav,/ð̟aβ/,Antenna (n)
DAKARI,Dagari,/ð̟aˈgˤaɾ̟i/,Laghari (n)
DAM,Dam,/ð̟am/,"Tree, Column, Tall (n/adj)"
DANYARI,Danyari,/ð̟aˈn̟jˤaɾ̟i/,Calendar (n)
DAREF,Darev,/ð̟aˈɾ̟eβ/,Antennae (pl.n)
DAREMCI,Daremchi,/ð̟aˈɾ̟emʨ̟i/,Mercury Island (n)
DAREINWCI,Dareinwchi,/ð̟aˈɾ̟ɛɪn̟ɯʨ̟i/,"Shimmer, Sparkle (v/n)"
DAI,Dai,/ð̟aɪ/,Angry (adj)
DAINIP,Dainip,/ð̟aɪˈn̟ip/,Violent (adj)
DAINW,Dainw,/ð̟aiˈn̟ɯ/,Lightning (n)
DI,Di,/ð̟i/,D (the letter) (n)
DI,Di,/ð̟i/,"Join, Tie (v)"
DIFI,Divi,/ð̟iˈβi/,"Television, TV (v)"
DIFIG,Diving,/ð̟iˈβiŋˤ/,Mix (v)
DINYH,Dinyh,/ð̟iˈn̟j̥ˤx̩ˤ/,Today (n)
DISI,Disi,/ð̟iˈɕ̟i/,Washington D.C. (n)
DW,Dw,/ð̟ɯ/,"Jupiter, Big (n/adj)"
DWN,Dwn,/ð̟ɯn̟/,"Very big, Great (n)"
DWREN,Dwren,/ð̟ɯˈɾ̟en̟/,Important (adj)
DWSSEI,Dwssei,/ˈð̟ɯɕ̟ːɛɪ/,Thursday (n)
DH,Dah,/ð̟ḁxˤ/,"Have, Hold, Carry (v)"
DHF,Dahf,/ð̟ḁxˤɸ/,"Take, Get, Receive (v)"
DHFNIFWM,Dahfnivwm,/ð̟ḁxˤɸˈn̟iβɯm/,Hunt (v)
DHKE,Dahke,/ð̟ḁxˤˈkˤe/,Pull (v)
DHKENYEM,Dahkenyem,/ð̟ḁxˤˈkˤen̟jˤem/,Row (v)
DHKECW,Dahkechw,/ð̟ḁxˤˈkˤeʨ̟ɯ/,"Borrow, Pay rent (v)"
DHKEI,Dahkei,/ð̟ḁxˤˈkˤɛɪ/,Push (v)
DHK,Dahk,/ð̟ḁxˤkˤ/,Dog (n)
DHN,Daht,/ð̟ḁxˤt̟/,Siblings (pl.n)
DHREG,Dahreng,/ð̟ḁxˤˈɾ̟eŋˤ/,Dogs (pl.n)
SE,Se,/ɕ̟e/,Money (n)
SEPENES,Sepenes,/ɕ̟eˈpen̟eɕ̟/,Spanish (n)
SEPYEI,Sebyei,/ˈɕ̟ebjˤɛɪ/,Subway (n)
SENDA,Senda,/ˈɕ̟en̟ð̟a/,Synth (n)
SENDIS,Sendis,/ˈɕ̟en̟ð̟iɕ̟/,Sandwich (n)
SEDWDEI,Sedwdei,/ˈɕ̟eð̟ɯð̟ɛɪ/,Saturday (n)
SEHI,Sehi,/ɕ̟eˈxˤi/,Warning (n)
SEHFREI,Sehfrei,/ɕ̟exˤˈɸɾ̟ɛɪ/,Apologize (v)
SEHFRAF,Sehfrav,/ɕ̟exˤˈɸɾ̟aβ/,"Yell, Scream (v)"
SEHMAM,Sehmam,/ɕ̟exˤˈmam/,Voice (n)
SEHSE,Sehse,/ɕ̟exˤˈɕ̟e/,Chat (v)
SEI,Sei,/ɕ̟ɛɪ/,"Past, Out"
SEIPE,Seipe,/ɕ̟ɛɪˈpe/,Time (n)
SEIPEKRH,Seipekrh,/ɕ̟ɛɪˈpekˤɾ̟̥x̩ˤ/,Never
SEIPEHANE,Seipehane,/ɕ̟ɛɪˈpexˤan̟e/,Saturn Island (n)
SEINNI,Seinni,/ˈɕ̟ɛɪn̟ːi/,For now
SEINYEM,Seinyem,/ɕ̟ɛɪˈn̟jˤem/,Boat (n)
SEINYEMKREM,Seinyemgrem,/ɕ̟ɛɪˈn̟jˤemgˤɾ̟em/,Shipwreck (n)
SEISE,Seise,/ɕ̟ɛɪˈɕ̟e/,"History, Historic, Ancient (n/adj)"
SEIGI,Seingi,/ɕ̟ɛɪˈŋˤi/,Find (v)
SEIGWG,Seingwng,/ɕ̟ɛɪˈŋˤɯŋˤ/,Sail (v)
SA,Sa,/ɕ̟a/,"As, By"
SA,Sa,/ɕ̟a/,You (n)
SAMW,Samw,/ɕ̟aˈmɯ/,You are (pl.v)
SAM,Sam,/ɕ̟am/,Reason (n)
SANFEN,Sanven,/ɕ̟an̟ˈβen̟/,Why
SANFRI,Sanvri,/ɕ̟an̟ˈβɾ̟i/,Bad news (n)
SANNI,Sanni,/ˈɕ̟an̟ːi/,Because
SANDEI,Sandei,/ˈɕ̟an̟ð̟ɛɪ/,Sunday (n)
SANYE,Sanye,"/ɕ̟aˈn̟jˤe/, /ɕ̟aɲˤ/",But
SADEM,Sadem,/ɕ̟aˈð̟em/,"Reasons, So (pl.n)"
SAREI,Sarei,/ɕ̟aˈɾ̟ɛɪ/,"Try, Test (v)"
SAYEF,Sayev,/ɕ̟aˈjˤeβ/,Star (n)
SAI,Sai,/ɕ̟aɪ/,"Can, Be able to (v)"
SAIMERAIN,Saimerain,/ˈɕ̟aɪmeɾ̟aɪn̟/,Timeline (n)
SAIMYE,Saimye,/ɕ̟aɪˈmjˤe/,Enjoyable (adj)
SAIS,Sais,/ɕ̟aɪɕ̟/,Website (n)
SI,Si,/ɕ̟i/,"Flavor, Taste (n/v)"
SIPHN,Sibaht,/ɕ̟iˈbḁxˤt̟/,Seatbelt (n)
SIFA,Sifa,/ɕ̟iˈɸa/,C (the letter) (n)
SIKKEN,Sikken,/ˈɕ̟ikˤːen̟/,Spicy (adj)
SINA,Sina,/ɕ̟iˈn̟a/,Sour (adj)
SINAG,Sinang,/ɕ̟iˈn̟aŋˤ/,Crunchy (adj)
SINW,Sinw,/ɕ̟iˈn̟ɯ/,Smooth (in taste) (adj)
SINYE,Sinye,/ɕ̟iˈn̟jˤe/,Sweet (adj)
SINYH,Sinyh,/ɕ̟iˈn̟j̥ˤx̩ˤ/,Tangy (adj)
SICE,Siche,/ɕ̟iˈʨ̟e/,Z (the letter) (n)
SICA,Sicha,/ɕ̟iˈʨ̟a/,T (the letter) (n)
SIHWN,Sihwn,/ɕ̟iˈxˤɯn̟/,Bitter (in taste) (adj)
SIHCI,Sihchi,/ɕ̟ixˤˈʨ̟i/,Leafy (in taste) (adj)
SIHYEG,Sihyeng,/ɕ̟ixˤˈjˤeŋˤ/,Salty (in taste) (adj)
SW,Sw,/ɕ̟ɯ/,Shake (v)
SWFEI,Swfei,/ɕ̟ɯˈɸɛɪ/,ZeWei (n)
SH,Sh,/ɕ̟x̩ˤ/,Speak (v)
SHPW,Shpw,/ɕ̟x̩ˤˈpɯ/,You are (v)
SHPRE,Shpre,/ɕ̟x̩ˤˈpɾ̟e/,Our Language (n)
SHPRECI,Shprechi,/ɕ̟x̩ˤˈpɾ̟eʨ̟i/,Dialect (n)
SHKRE,Shkre,/ɕ̟x̩ˤˈkˤɾ̟e/,Their Language (n)
SHNWGCEFEI,Sahnwngchevei,/ɕ̟ḁxˤˈn̟ɯŋˤʨ̟eβɛɪ/,Greet (v)
SHDERE,Sahdere,/ɕ̟ḁxˤˈð̟eɾ̟e/,"You have, Your (pl.v/adj)"
SHRE,Shre,/ɕ̟x̩ˤˈɾ̟e/,"You have, Your (v/adj)"
SHDEI,Sahdei,/ɕ̟ḁxˤˈð̟ɛɪ/,You were (v)
SHS,Shs,/ɕ̟x̩ˤɕ̟/,You (pl.n)
CE,Che,/ʨ̟e/,Mandible (n)
CEF,Chev,/ˈʨ̟eβ/,"Choose, Or (v)"
CEKEN,Cheken,/ˈʨ̟ekˤen̟/,Chicken (n)
CEN,Chen,/ʨ̟en̟/,Cheap (adj)
CECI,Chechi,/ʨ̟eˈʨ̟i/,Expensive (adj)
CEI,Chei,/ʨ̟ɛɪ/,J (the letter) (n)
CEI,Chei,/ʨ̟ɛɪ/,Three (n)
CEIN,Chein,/ʨ̟ɛɪn̟/,Train (n)
CA,Cha,/ʨ̟a/,Two (n)
CAPIKA,Chapika,/ʨ̟apikˤa/,"Tropical, Tropics (adj/n)"
CAFREMWNYH,Chavremwnyh,/ʨ̟aˈβɾ̟emɯn̟j̥ˤx̩ˤ/,Welcome
CAFRERHMWNYE,Chavrerahmwnye,/ʨ̟aˈβɾ̟eɾ̟ḁxˤmɯn̟jˤe/,Welcome (to everyone)
CAF,Chav,/ʨ̟aβ/,"Request, Please (v/n)"
CAI,Chai,/ʨ̟aɪ/,I (the letter) (n)
CAI,Chai,/ʨ̟aɪ/,Wait (for) (v)
CAINA,Chaina,/ˈʨ̟aɪn̟a/,China (n)
CAICA,Chaicha,/ˈʨ̟aɪʨ̟a/,Georgia (n)
CI,Chi,/ʨ̟i/,G (the letter) (n)
CI,Chi,/ʨ̟i/,"Mercury, Small, Short (n/adj)"
CIFE,Chife,/ʨ̟iˈɸe/,Month 1 (n)
CIKKW,Chikkw,/ˈʨ̟ikˤːɯ/,Month by Mercury (n)
CIN,Chin,/ʨ̟in̟/,"Grass, Green (n/adj)"
CINFIF,Chinviv,/ʨ̟in̟ˈβiβ/,Bed (n)
CINNAMI,Chinnami,/ʨ̟in̟ːami/,Leafy (adj)
CINNAM,Chinnam,/ʨ̟in̟ːam/,"Leaf, Spoon (n)"
CINNAGW,Chinnangw,/ˈʨ̟in̟ːaŋˤɯ/,Seaweed (n)
CIS,Chis,/ʨ̟iɕ̟/,Cheese (n)
CICE,Chiche,/ʨ̟iˈʨ̟e/,Month 2 (n)
CICI,Chichi,/ʨ̟iˈʨ̟i/,Month 3 (n)
CIHI,Chihi,/ʨ̟iˈxˤi/,Month 4 (n)
CIYEM,Chiyem,/ʨ̟iˈjˤem/,Month 5 (n)
CIYAF,Chiyav,/ʨ̟iˈjˤaβ/,Defecate (v)
CIHSE,Chihse,/ʨ̟ixˤˈɕ̟e/,Syllable (n)
CW,Chw,/ʨ̟ɯ/,Q (the letter) (n)
CW,Chw,/ʨ̟ɯ/,"Think, Know (v)"
CWF,Chwv,/ʨ̟ɯβ/,Strong (adj)
CWFHN,Chwvaht,/ʨ̟ɯˈβḁxˤt̟/,"Advice, Suggestion (n)"
CWKE,Chwke,/ʨ̟ɯˈkˤe/,"Learn, Study (v)"
CWKRH,Chwgrh,/ʨ̟ɯˈgˤɾ̟̥x̩ˤ/,Unknown (adj)
CWME,Chwme,/ʨ̟ɯˈme/,"Center, Middle (v/n)"
CWMEHPES,Chwmehpes,/ʨ̟ɯˈmexˤpeɕ̟/,Torso (n)
CWM,Chwm,/ʨ̟ɯm/,"On, Sit (v)"
CWMKEN,Chwmgen,/ʨ̟ɯmˈgˤen/,Inside
CWMNYH,Chwmnyh,/ʨ̟ɯmˈn̟j̥ˤx̩ˤ/,Confidence (n)
CWNFHG,Chwnvahk,/ʨ̟ɯn̟ˈβḁxˤkˤ/,"Relax, Slump (v)"
CWSSEI,Chwssei,/ˈʨ̟ɯɕ̟ːɛɪ/,Tuesday (n)
CWHEI,Chwhei,/ʨ̟ɯˈxˤɛɪ/,Know (of) (v)
CWHEIN,Chwhein,/ʨ̟ɯˈxˤɛɪn̟/,"Famous, Popular (adj)"
CWYHG,Chwyhng,/ʨ̟ɯˈj̥ˤx̩ˤŋ̥ˤ/,Believe (v)
CH,Chh,/ʨ̟x̩ˤ/,"Bucket, Box, Container (n)"
CHFWM,Chahvwm,/ʨ̟ḁxˤˈβɯm/,"Cup, Bowl (n)"
CHKEG,Chahgeng,/ʨ̟ḁxˤˈgˤeŋˤ/,Ears (n)
CHNYEM,Chahnyem,/ʨ̟ḁxˤˈn̟jˤem/,Consonant (n)
CHG,Chhng,/ʨ̟x̩ˤŋ̥ˤ/,"Hear, Listen, Ear (v/n)"
CHG,Chhng,/ʨ̟x̩ˤŋ̥ˤ/,"Method, Context (n)"
CHGFEN,Chhngfen,/ʨ̟x̩ˤŋ̥ˤˈɸen̟/,How
CHGME,Chhngme,/ʨ̟x̩ˤŋ̥ˤˈme/,Vowel (n)
HE,He,/xˤe/,Leg (n)
HE,He,/xˤe/,Quiet (adj)
HEPPIHE,Heppihe,/ˈxˤepːixˤe/,"Ramp, Stairs (n)"
HEFFAG,Heffang,/ˈxˤeɸːaŋˤ/,Terrain (n)
HEFFINYE,Heffinye,/ˈxˤeɸːin̟jˤe/,Fantasy (n)
HEFFRAM,Heffram,/ˈxˤeɸːɾ̟am/,Plateau (n)
HEKEN,Heken,/xˤeˈkˤen̟/,"Grounds, Islands, Worlds (pl.n)"
HEKEI,Hekei,/xˤeˈkˤɛɪ/,These (pl.n/pl.adj)
HEKANEIF,Hekaneiv,/xˤeˈkˤan̟ɛɪβ/,Desert (n)
HEKKANW,Hekkanw,/ˈxˤekˤːan̟ɯ/,Mountain (n)
HEKGI,Hekki,/ˈxˤekˤːi/,Hundreds (pl.n)
HEM,Hem,/xˤem/,"Sharp, Sharpen (adj/v)"
HENYA,Henya,/xˤeˈn̟jˤa/,Sun Island (n)
HEN,Hen,/xˤen̟/,"Ground, Island, World (n)"
HENKANAI,Henkanai,/xˤen̟ˈkˤan̟aɪ/,Moon Island (n)
HENNEFAG,Hennefang,/ˈxˤen̟ːeɸaŋˤ/,Quarry (n)
HENNYEM,Hennyem,/ˈxˤen̟ːjˤem/,Mud (n)
HEREF,Herev,/xˤeˈɾ̟eβ/,Bell (n)
HEREF,Herev,/xˤeˈɾ̟eβ/,"Hole, Gap (n)"
HERAM,Heram,/xˤeˈɾ̟am/,Jungle (n)
HERAM,Heram,/xˤeˈɾ̟am/,Root (n)
HERFEN,Herven,/xˤeɾ̟ˈβen̟/,"Canyon, Gorge (n)"
HECIN,Hechin,/xˤeˈʨ̟in̟/,From
HEYA,Heya,/xˤeˈjˤa/,Return (v)
HEYANW,Heyanw,/xˤeˈjˤan̟ɯ/,Year by Saturn (v)
HEYYEM,Heyywm,/ˈxˤejˤːɯm/,"Tip, Edge (n)"
HEYYEMKEN,Heyywmgen,/ˈxˤejˤːɯmgˤen̟/,Balcony (n)
HEYYA,Heyya,/ˈxˤejˤːa/,Cliff (n)
HEGI,Heki,/xˤeˈkˤi/,Sixteen (n)
HEI,Hei,/xˤɛɪ/,Four (n)
HEI,Hei,/xˤɛɪ/,"Up, Forward, More, This (n/adj)"
HEIFEN,Heiven,/xˤɛɪˈβen̟/,"Stand, Awaken (v)"
HEIKE,Heike,/xˤɛɪˈkˤe/,"Top, Peak (n)"
HEIKEN,Heiken,/xˤɛɪˈkˤen̟/,North (n)
HEIKAPEG,Heikapeng,/xˤɛɪˈkˤapeŋˤ/,Ray (n)
HEIKA,Heika,/xˤɛɪˈkˤa/,"Direction, Way (n)"
HEIKAN,Heikan,/xˤɛɪˈkˤan̟/,Direct (adj)
HEIMYE,Heimye,/xˤɛɪˈmjˤe/,Sacred (adj)
HEINA,Heina,/xˤɛɪˈn̟a/,"Left, Turn left (v)"
HEINAPI,Heinapi,/xˤɛɪˈn̟api/,Rebel (v/n)
HEINACWME,Heinachwme,/xˤɛɪˈn̟aʨ̟ɯme/,Fold (v)
HEINAHEN,Heinahen,/xˤɛɪˈn̟axˤen̟/,West (n)
HEINH,Heinah,/xˤɛɪˈn̟ḁxˤ/,Five (n)
HEINDI,Heindi,/xˤɛɪn̟ˈð̟i/,Seven (n)
HEINCH,Heinchh,/xˤɛɪn̟ˈʨ̟x̩ˤ/,Six (n)
HEINYE,Heinye,/xˤɛɪˈn̟jˤe/,"Right, Turn right (v)"
HEINYAN,Heinyan,/xˤɛɪˈn̟jˤan̟/,Example (n)
HEINYAHEN,Heinyahen,/xˤɛɪˈn̟jˤaxˤen̟/,East (n)
HEINYAHEN,Heinyahen,/xˤɛɪˈn̟jˤaxˤen̟/,Year by Sun (n)
HEIREHA,Heireha,/xˤɛɪˈɾ̟exˤa/,Summer (n)
HEICAF,Heichav,/xˤɛɪˈʨ̟aβ/,Nine (n)
HEICH,Heichh,/xˤɛɪˈʨ̟x̩ˤ/,Eight (n)
HEIGWF,Heingwv,/xˤɛɪˈŋˤɯβ/,Early (adj)
HA,Ha,/xˤa/,"Hot, Heat (adj/v)"
HAKEN,Haken,/xˤaˈkˤen̟/,Feet (pl.n)
HANE,Hane,/xˤaˈn̟e/,Different (adj)
HANE,Hane,/xˤaˈn̟e/,Saturn (n)
HANEKREF,Hanegrev,/xˤaˈn̟egˤɾ̟eβ/,"Same, Duplicate (adj/n)"
HANEDAMKRE,Hanedamgre,/xˤaˈn̟eð̟amgˤɾ̟e/,Equal (adj)
HANEIF,Haneiv,/xˤaˈn̟ɛɪβ/,Dry (adj)
HANEIG,Haneing,/xˤaˈn̟ɛɪŋˤ/,"Allow, Grant (v)"
HANAMPYE,Hanambye,/xˤaˈn̟ambjˤe/,How are you?
HANAI,Hanai,/xˤaˈn̟aɪ/,"Moon, Dark (n/adj)"
HANAINYE,Hanainye,/xˤaˈn̟aɪn̟jˤe/,Dark Grey (adj)
HANAIRI,Hanairi,/xˤaˈn̟aɪɾ̟i/,Night (n)
HANW,Hanw,/xˤaˈn̟ɯ/,Cloud (n)
HANWNE,Hanwne,/xˤaˈn̟ɯn̟e/,Clouds (pl.n)
HAN,Han,/xˤan̟/,Foot (n)
HANNE,Hanne,/ˈxˤan̟ːe/,Sandstone (n)
HANNAI,Hannai,/ˈxˤan̟ːaɪ/,"Metal, Gamelan (or similar) (n)"
HANNYE,Hannye,/ˈxˤan̟ːjˤe/,Pearl (n)
HANYEM,Hanyem,/xˤaˈn̟jˤem/,Gold (n)
HARAKREM,Haragrem,/ˈxˤaɾ̟agˤɾ̟em/,Hologram (n)
HAGWN,Hangwn,/xˤaˈŋˤɯn̟/,Boulder (n)
HAG,Hang,/xˤaŋˤ/,"Rock, Heavy (n/adj)"
HAGPE,Hangpe,/xˤaŋˤˈpe/,Coral (n)
HAGKEN,Hangken,/xˤaŋˤˈkˤen̟/,Stone (n)
HAGKEIN,Hangkein,/xˤaŋˤˈkˤɛɪn̟/,Coal (n)
HAGKREM,Hangkrem,/xˤaŋˤˈkˤɾ̟em/,Rubble (n)
HAGMIN,Hangmin,/xˤaŋˤˈmin̟/,Slate (n)
HAGNAG,Hangnang,/xˤaŋˤˈn̟aŋˤ/,Obsidian (n)
HAGNAGCI,Hangnangchi,/xˤaŋˤˈn̟aŋˤʨ̟i/,Ruby (n)
HAGNAI,Hangnai,/xˤaŋˤˈn̟aɪ/,Mars Island (n)
HAGNWF,Hangnwv,/xˤaŋˤˈn̟ɯβ/,Gemstone (n)
HAGSAYEF,Hangsayev,/xˤaŋˤˈɕ̟ajˤeβ/,Crystal (n)
HAGCI,Hangchi,/xˤaŋˤˈʨ̟i/,Pebble (n)
HAGCWF,Hangchwv,/xˤaŋˤˈʨ̟ɯβ/,Mineral (n)
HAGHW,Hanghw,/xˤaŋˤˈxˤɯ/,Diamond (n)
HAI,Hai,/xˤaɪ/,"Help, Use (v)"
HAINISE,Hainise,/xˤaɪˈn̟iɕ̟e/,Control (v)
HAICW,Haichw,/xˤaɪˈʨ̟ɯ/,Buy (v)
HAIGWN,Haingwn,/xˤaɪˈŋˤɯn̟/,Favor (n)
HI,Hi,/xˤi/,"Soft, Care, Worry (adj/n)"
HW,Hw,/xˤɯ/,Fill (v)
HWFE,Hwve,/xˤɯˈβe/,"Focus, Concentrate (v)"
HWMEN,Hwmen,/ˈxˤɯmen̟/,Human (n)
HWN,Hwn,/xˤɯn̟/,"Full, Rich (adj)"
YE,Ye,/jˤe/,Beach (n)
YE,Yw,/jˤɯ/,U (the letter) (n)
